City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Atuona,PF,77.94,few clouds,-9.8,-139.0333,Villa Enata
11,Gorontalo,ID,75.31,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
15,Rikitea,PF,76.37,light rain,-23.1203,-134.9692,People ThankYou
17,Butaritari,KI,81.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Sibolga,ID,77.02,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
20,Sao Filipe,CV,77.11,few clouds,14.8961,-24.4956,Hotel Xaguate
22,Kinshasa,CD,76.84,broken clouds,-4.3246,15.3215,Star Hotel II
32,Nouakchott,MR,76.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN
36,Emporia,US,82.6,clear sky,38.4039,-96.1817,Candlewood Suites Emporia
37,Beihai,CN,76.48,clear sky,21.4833,109.1,21 Degree Hostel
39,Manggar,ID,79.77,overcast clouds,-2.8833,108.2667,Guest Hotel
50,South Bend,US,81.41,clear sky,41.6834,-86.25,DoubleTree by Hilton Hotel South Bend
51,Sinnamary,GF,81.7,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
52,Hue,VN,77.11,few clouds,16.4667,107.6,Saigon Morin Hotel
53,Hamilton,US,83.61,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
62,Kavieng,PG,81.61,few clouds,-2.5744,150.7967,Nusa Island Retreat
67,Waddan,LY,79.59,clear sky,29.1614,16.139,محل الشريف محمد العايب
68,Nhulunbuy,AU,75.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
73,Veraval,IN,82.08,clear sky,20.9,70.3667,Lords Inn Somnath
77,Tautira,PF,78.53,clear sky,-17.7333,-149.15,Pension Oaoa
82,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
87,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
99,Lorengau,PG,81.34,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Miri,MY,78.87,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
106,Magomeni,TZ,75.54,overcast clouds,-6.8,39.25,Protea Hotel by Marriott Dar es Salaam Courtyard
108,Sao Jose Da Coroa Grande,BR,81.72,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
111,Buala,SB,79.23,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
112,Avarua,CK,78.15,light rain,-21.2078,-159.775,Paradise Inn
114,Kavaratti,IN,82.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Salinopolis,BR,78.84,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
121,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
122,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
126,Pasni,PK,82.65,clear sky,25.2631,63.471,Kashmiri Hotal
141,Half Moon Bay,US,84.54,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
143,Ahuimanu,US,81.36,few clouds,21.4447,-157.8378,Paradise Bay Resort
150,Angoche,MZ,75.34,clear sky,-16.2325,39.9086,Guest House HESADA
153,La Rioja,ES,76.78,overcast clouds,42.25,-2.5,Casa Concejos
159,Lompoc,US,84.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
163,Pacific Grove,US,75.15,clear sky,36.6177,-121.9166,Lovers Point Inn
166,Awjilah,LY,76.42,clear sky,29.1081,21.2869,المنزل
169,Cortez,US,81.36,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
170,Port-Gentil,GA,78.37,light rain,-0.7193,8.7815,Fengshui Residence
171,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
173,Caravelas,BR,75.81,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
176,Sabang,ID,83.34,overcast clouds,5.8933,95.3214,Hotel Citra
182,Tarakan,ID,80.91,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
183,Bintulu,MY,79.7,overcast clouds,3.1667,113.0333,900 Boutique INN
188,Turkmenabat,TM,81.55,broken clouds,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
190,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
191,Touros,BR,83.88,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
192,Ugoofaaru,MV,83.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
200,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
209,Faanui,PF,80.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Denpasar,ID,79.09,overcast clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
220,Port Blair,IN,81.72,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
221,Srikakulam,IN,84.87,light rain,18.3,83.9,Micro Systems
233,Kyaukse,MM,84.56,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
238,Tainan,TW,75.87,overcast clouds,22.9908,120.2133,Tie Dao Hotel
241,Paciran,ID,78.53,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
242,Dingle,PH,78.12,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Constantine,DZ,80.01,few clouds,36.365,6.6147,Grand Hotel Cirta
252,Victoria,HK,78.85,broken clouds,22.2855,114.1577,Mini Central
253,Sun Valley,US,79.72,broken clouds,39.5963,-119.776,Panther Valley RV Park
255,Davila,PH,77.79,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
256,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
258,Limbang,MY,77.11,light rain,4.75,115.0,Purnama Hotel
260,Lutry,CH,75.76,overcast clouds,46.5024,6.6865,BEST WESTERN PLUS Hotel Mirabeau Lausanne
261,Hirara,JP,76.42,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
270,Bengkulu,ID,75.99,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
274,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
