City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avera,US,33.194,-82.5271,93.54,32,38,11.01,scattered clouds
1,Luderitz,NA,-26.6481,15.1594,55.69,79,1,12.19,clear sky
2,Hermanus,ZA,-34.4187,19.2345,57.61,57,3,6.11,clear sky
3,Cidreira,BR,-30.1811,-50.2056,61.18,77,53,12.03,broken clouds
4,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,89,12.95,overcast clouds
5,Sept-Iles,CA,50.2001,-66.3821,49.35,60,64,10.85,broken clouds
6,Souillac,MU,-20.5167,57.5167,73.17,80,29,10.2,scattered clouds
7,Atuona,PF,-9.8,-139.0333,77.94,62,20,9.04,few clouds
8,Jamestown,US,42.097,-79.2353,66.02,75,100,13.8,overcast clouds
9,Albany,US,42.6001,-73.9662,59.27,88,100,6.53,overcast clouds
10,Ouadda,CF,8.0777,22.4007,70.57,87,100,3.18,overcast clouds
11,Gorontalo,ID,0.5412,123.0595,75.31,96,43,2.1,scattered clouds
12,Spisska Nova Ves,SK,48.9446,20.5615,59.99,80,47,4.09,scattered clouds
13,Severo-Kurilsk,RU,50.6789,156.125,41.4,92,99,3.38,overcast clouds
14,Mount Gambier,AU,-37.8333,140.7667,47.73,79,32,5.01,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,76.37,78,80,12.28,light rain
16,Gencsapati,HU,47.285,16.5958,56.93,59,8,8.32,clear sky
17,Butaritari,KI,3.0707,172.7902,81.27,69,100,13.71,overcast clouds
18,Sibolga,ID,1.7427,98.7792,77.02,89,26,3.15,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,55.06,62,20,9.22,few clouds
20,Sao Filipe,CV,14.8961,-24.4956,77.11,64,11,10.13,few clouds
21,Olinda,BR,-8.0089,-34.8553,85.73,66,0,9.22,clear sky
22,Kinshasa,CD,-4.3246,15.3215,76.84,86,83,1.54,broken clouds
23,Thompson,CA,55.7435,-97.8558,47.3,39,100,12.68,overcast clouds
24,Jackson,US,42.4165,-122.8345,62.74,44,40,6.91,scattered clouds
25,Bavly,RU,54.393,53.2602,38.48,93,5,6.15,clear sky
26,Wattegama,LK,6.7989,81.4808,77.67,72,99,9.98,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,39.47,95,99,6.04,moderate rain
28,Haftoni,AZ,38.7632,48.7622,65.91,100,0,12.66,clear sky
29,Flin Flon,CA,54.7682,-101.865,51.12,31,84,14.0,broken clouds
30,East London,ZA,-33.0153,27.9116,65.89,89,76,10.02,light rain
31,Clyde River,CA,70.4692,-68.5914,27.46,86,96,6.98,overcast clouds
