City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-05-18 17:15:21,3.0707,172.7902,80.92,77,52,8.75
1,Vila Franca Do Campo,PT,2022-05-18 17:21:06,37.7167,-25.4333,64.2,92,100,14.5
2,Port Alfred,ZA,2022-05-18 17:21:07,-33.5906,26.891,73.18,45,31,1.99
3,Cape Town,ZA,2022-05-18 17:21:07,-33.9258,18.4232,61.21,90,40,10.36
4,Hobart,AU,2022-05-18 17:13:07,-42.8794,147.3294,50.25,69,31,5.75
5,Kapaa,US,2022-05-18 17:16:56,22.0752,-159.319,75.18,93,100,17.27
6,Pitimbu,BR,2022-05-18 17:21:08,-7.4706,-34.8086,86.59,65,42,8.19
7,Birpur,IN,2022-05-18 17:21:08,26.5167,87.0167,81.77,63,20,8.48
8,Punta Arenas,CL,2022-05-18 17:16:41,-53.15,-70.9167,48.22,81,40,6.91
9,Sao Filipe,CV,2022-05-18 17:18:11,14.8961,-24.4956,78.94,61,95,8.28
10,Cidreira,BR,2022-05-18 17:11:15,-30.1811,-50.2056,60.85,85,100,21.92
11,Vaini,TO,2022-05-18 17:21:10,-21.2,-175.2,71.76,83,20,4.61
12,Colwyn Bay,GB,2022-05-18 17:21:10,53.2948,-3.7267,67.75,55,100,7.0
13,Rikitea,PF,2022-05-18 17:15:22,-23.1203,-134.9692,77.38,69,85,15.82
14,Batticaloa,LK,2022-05-18 17:21:11,7.7102,81.6924,84.02,67,56,3.71
15,Hirara,JP,2022-05-18 17:21:11,24.8,125.2833,75.15,76,71,14.43
16,Busselton,AU,2022-05-18 17:16:50,-33.65,115.3333,59.04,86,11,1.39
17,Gat,IL,2022-05-18 17:19:29,31.61,34.7642,75.4,7,0,8.57
18,Salalah,OM,2022-05-18 17:16:40,17.0151,54.0924,84.29,84,75,4.61
19,Novyy Urengoy,RU,2022-05-18 17:21:13,66.0833,76.6333,45.19,64,100,6.78
20,Hithadhoo,MV,2022-05-18 17:15:31,-0.6,73.0833,83.7,75,99,14.07
21,Tuatapere,NZ,2022-05-18 17:21:13,-46.1333,167.6833,49.68,93,100,3.94
22,Paamiut,GL,2022-05-18 17:21:14,61.994,-49.6678,34.43,84,13,8.41
23,Lebu,CL,2022-05-18 17:21:14,-37.6167,-73.65,58.24,64,56,8.1
24,Sur,OM,2022-05-18 17:21:15,22.5667,59.5289,90.37,41,2,8.79
25,Beringovskiy,RU,2022-05-18 17:21:15,63.05,179.3167,36.9,92,100,6.22
26,Hilo,US,2022-05-18 17:11:04,19.7297,-155.09,86.29,82,20,6.91
27,Chokurdakh,RU,2022-05-18 17:18:05,70.6333,147.9167,27.95,88,100,4.72
28,Ushuaia,AR,2022-05-18 17:15:29,-54.8,-68.3,46.06,76,0,1.14
29,Roald,NO,2022-05-18 17:21:17,62.5833,6.1333,61.72,72,40,13.8
30,Hambantota,LK,2022-05-18 17:21:17,6.1241,81.1185,80.46,82,10,20.04
31,Saint-Philippe,RE,2022-05-18 17:15:36,-21.3585,55.7679,74.79,75,42,13.94
32,Barrow,US,2022-05-18 17:20:03,71.2906,-156.7887,15.82,86,100,14.97
33,Mataura,NZ,2022-05-18 17:15:20,-46.1927,168.8643,53.47,95,81,3.29
34,Severo-Kurilsk,RU,2022-05-18 17:18:18,50.6789,156.125,41.94,89,40,2.21
35,Saint-Pierre,RE,2022-05-18 17:21:19,-21.3393,55.4781,74.88,64,75,19.57
36,Alofi,NU,2022-05-18 17:21:20,-19.0595,-169.9187,75.09,83,45,10.36
37,Tasiilaq,GL,2022-05-18 17:15:32,65.6145,-37.6368,35.76,94,100,0.89
38,Coquimbo,CL,2022-05-18 17:12:56,-29.9533,-71.3436,56.93,76,75,5.75
39,Evensk,RU,2022-05-18 17:21:21,61.95,159.2333,34.29,99,100,1.52
40,Bairiki,KI,2022-05-18 17:21:21,1.3292,172.9752,78.8,78,20,4.61
41,Santa Cruz,BO,2022-05-18 17:21:22,-17.8,-63.1667,71.65,35,40,25.32
42,Ussel,FR,2022-05-18 17:21:22,45.55,2.3167,76.28,50,100,3.78
43,Shimoda,JP,2022-05-18 17:21:23,34.6667,138.95,59.11,82,4,3.85
44,Bredasdorp,ZA,2022-05-18 17:15:18,-34.5322,20.0403,62.53,83,51,14.47
45,Mazyr,BY,2022-05-18 17:22:24,52.0495,29.2456,49.5,74,81,5.79
46,Sitka,US,2022-05-18 17:22:24,57.0531,-135.33,49.89,62,40,4.61
47,Iqaluit,CA,2022-05-18 17:22:25,63.7506,-68.5145,29.93,68,100,6.91
48,Albany,US,2022-05-18 17:12:34,42.6001,-73.9662,65.79,33,24,1.01
49,Tautira,PF,2022-05-18 17:22:26,-17.7333,-149.15,79.77,73,100,12.26
50,Arraial Do Cabo,BR,2022-05-18 17:15:30,-22.9661,-42.0278,75.16,31,0,10.36
51,Sydney,AU,2022-05-18 17:20:18,-33.8679,151.2073,55.71,67,0,10.36
52,Hellvik,NO,2022-05-18 17:22:26,59.9156,5.781,59.77,78,86,8.01
53,Monamon,PH,2022-05-18 17:22:27,16.8833,120.8833,55.6,99,100,0.83
54,Aykhal,RU,2022-05-18 17:15:26,66.0,111.5,41.18,86,100,8.68
55,Znin,PL,2022-05-18 17:22:28,52.8496,17.7199,66.04,55,49,4.61
56,Grindavik,IS,2022-05-18 17:22:28,63.8424,-22.4338,52.27,82,75,10.36
57,Hermanus,ZA,2022-05-18 17:16:55,-34.4187,19.2345,60.8,91,26,15.9
58,Saint-Junien,FR,2022-05-18 17:22:29,45.8833,0.9,86.85,46,100,3.8
59,Bluff,NZ,2022-05-18 17:22:30,-46.6,168.3333,53.8,90,97,13.02
60,Shenjiamen,CN,2022-05-18 17:22:30,29.9576,122.298,63.14,73,100,7.72
61,Simao,CN,2022-05-18 17:22:31,22.7886,100.9748,62.55,98,15,2.59
62,Port Augusta,AU,2022-05-18 17:19:21,-32.5,137.7667,55.29,62,100,6.69
63,Narsaq,GL,2022-05-18 17:15:24,60.9167,-46.05,53.82,71,13,5.79
64,Khani,GE,2022-05-18 17:22:32,41.9563,42.9566,56.77,62,1,5.77
65,Castro,BR,2022-05-18 17:16:43,-24.7911,-50.0119,43.66,85,100,11.97
66,Sri Aman,MY,2022-05-18 17:22:33,1.2376,111.4621,77.05,100,11,0.0
67,Cayenne,GF,2022-05-18 17:22:34,4.9333,-52.3333,85.08,4,75,12.66
68,High Level,CA,2022-05-18 17:22:34,58.5169,-117.136,57.31,35,75,2.3
69,Birao,CF,2022-05-18 17:22:35,10.2849,22.7882,93.61,31,100,5.12
70,Mamallapuram,IN,2022-05-18 17:22:35,12.6264,80.1722,86.05,73,100,17.25
71,Pevek,RU,2022-05-18 17:22:36,69.7008,170.3133,32.58,99,100,0.92
72,Benghazi,LY,2022-05-18 17:22:36,32.1167,20.0667,69.75,67,0,15.39
73,Deputatskiy,RU,2022-05-18 17:22:37,69.3,139.9,21.27,98,99,0.81
74,Mahebourg,MU,2022-05-18 17:16:39,-20.4081,57.7,73.69,88,40,9.22
75,Ancud,CL,2022-05-18 17:19:36,-41.8697,-73.8203,53.91,56,100,2.77
76,Nishihara,JP,2022-05-18 17:22:37,26.1842,127.7558,70.88,92,75,5.75
77,Klaksvik,FO,2022-05-18 17:22:38,62.2266,-6.589,49.12,86,99,20.56
78,Skibbereen,IE,2022-05-18 17:22:39,51.55,-9.2667,55.11,80,83,28.48
79,Husavik,IS,2022-05-18 17:18:13,66.0449,-17.3389,43.86,95,100,8.46
80,Torbay,CA,2022-05-18 17:19:22,47.6666,-52.7314,45.88,96,100,12.66
81,East London,ZA,2022-05-18 17:18:07,-33.0153,27.9116,72.54,56,0,5.75
82,Nikolskoye,RU,2022-05-18 17:15:32,59.7035,30.7861,51.69,66,58,8.68
83,Saskylakh,RU,2022-05-18 17:22:40,71.9167,114.0833,26.65,89,83,12.08
84,Lyngseidet,NO,2022-05-18 17:22:40,69.5763,20.2189,39.2,80,90,5.97
85,Port Elizabeth,ZA,2022-05-18 17:15:25,-33.918,25.5701,80.1,29,0,6.91
86,Airai,TL,2022-05-18 17:22:41,-8.9266,125.4092,58.62,91,91,2.44
87,Narrabri,AU,2022-05-18 17:23:42,-30.3167,149.7833,46.53,85,95,1.01
88,Navirai,BR,2022-05-18 17:23:42,-23.065,-54.1906,60.08,50,15,11.43
